LSOA code,Total Crimes,2019,2020,2021,2022,2023,Average Crimes 2019-2023
E01001738,617,121,104,123,127,142,123.4
E01001744,862,142,191,197,132,200,172.4
E01001747,2424,551,531,394,454,494,484.8
E01001760,4538,964,929,739,819,1087,907.6
E01001763,1337,247,314,286,261,229,267.4
E01001768,991,155,260,247,191,138,198.2
E01001795,781,129,159,155,166,172,156.2
E01001803,628,114,159,157,113,85,125.6
E01001807,1062,187,259,269,178,169,212.4
E01001834,985,200,247,206,178,154,197.0
E01001835,458,97,79,115,84,83,91.6
E01001836,1521,284,344,276,281,336,304.2
E01001873,592,126,114,112,97,143,118.4
E01001881,1733,356,351,344,338,344,346.6
E01001886,1164,222,258,267,222,195,232.8
E01001919,409,80,125,54,73,77,81.8
E01001925,706,135,147,128,120,176,141.2
E01001940,1106,268,283,227,190,138,221.2
E01001941,3436,711,662,585,742,736,687.2
E01001951,775,228,154,122,121,150,155.0
E01001954,746,196,164,165,114,107,149.2
E01001958,1193,152,213,262,285,281,238.6
E01001963,654,114,165,134,128,113,130.8
E01001964,929,141,251,242,157,138,185.8
E01001979,2651,512,520,500,536,583,530.2
E01001989,925,213,226,163,146,177,185.0
E01002011,1104,204,235,194,205,266,220.8
E01002019,512,69,93,106,90,154,102.4
E01002024,592,119,138,130,128,77,118.4
E01002046,1361,274,298,275,292,222,272.2
E01002061,527,96,131,82,99,119,105.4
E01002065,1321,218,246,272,265,320,264.2
E01002072,3181,651,649,600,673,608,636.2
E01002082,761,168,143,126,155,169,152.2
E01002087,839,147,172,142,164,214,167.8
E01002093,1914,308,482,409,364,351,382.8
E01002096,783,173,189,143,142,136,156.6
E01002107,380,73,92,76,68,71,76.0
E01002118,1377,307,215,254,310,291,275.4
E01002123,959,164,203,196,211,185,191.8
E01002136,838,253,136,143,154,152,167.6
E01002137,492,80,114,93,105,100,98.4
E01002146,207,34,42,39,51,41,41.4
E01002151,696,124,179,123,130,140,139.2
E01002154,767,178,176,177,171,65,153.4
E01002164,503,72,80,72,121,158,100.6
E01002165,499,94,142,127,81,55,99.8
E01002170,378,82,103,82,72,39,75.6
E01002174,250,40,48,60,55,47,50.0
E01002175,560,96,140,122,118,84,112.0
E01002190,377,87,95,76,64,55,75.4
E01002191,375,73,78,80,65,79,75.0
E01002193,474,90,118,115,77,74,94.8
E01002199,431,84,122,109,75,41,86.2
E01002201,425,116,96,101,70,42,85.0
E01002214,647,137,161,134,109,106,129.4
E01002218,787,111,177,120,178,201,157.4
E01002225,459,82,136,97,72,72,91.8
E01002230,385,69,103,78,71,64,77.0
E01002232,1078,257,218,204,188,211,215.6
E01002235,785,127,211,148,154,145,157.0
E01002247,918,166,172,171,187,222,183.6
E01002249,1693,478,381,381,342,111,338.6
E01002250,884,191,172,184,173,164,176.8
E01002277,853,163,192,132,189,177,170.6
E01002299,625,92,124,103,134,172,125.0
E01002301,453,64,119,93,88,89,90.6
E01002339,394,83,90,89,71,61,78.8
E01002352,788,167,143,153,197,128,157.6
E01002363,444,92,97,60,85,110,88.8
E01002364,243,32,59,40,41,71,48.6
E01002369,662,134,129,140,130,129,132.4
E01002411,724,130,172,151,141,130,144.8
E01002415,363,67,102,88,72,34,72.6
E01002425,658,129,161,139,113,116,131.6
E01002442,678,126,168,142,98,144,135.6
E01002443,1942,380,322,375,386,479,388.4
E01002449,1410,245,289,314,320,242,282.0
E01002455,980,215,245,217,156,147,196.0
E01002457,945,152,225,209,177,182,189.0
E01002493,683,122,144,152,136,129,136.6
E01002504,1721,435,491,367,342,86,344.2
E01002506,4374,1008,1053,777,748,788,874.8
E01002511,599,126,145,107,96,125,119.8
E01002518,717,151,172,163,117,114,143.4
E01002538,1037,146,238,194,212,247,207.4
E01002547,772,157,161,132,175,147,154.4
E01002572,1113,233,253,233,206,188,222.6
E01002583,744,169,191,162,118,104,148.8
E01002586,539,71,81,73,127,187,107.8
E01002592,1958,336,391,376,423,432,391.6
E01002594,1013,187,212,212,186,216,202.6
E01002600,483,74,114,99,89,107,96.6
E01002610,860,126,184,179,211,160,172.0
E01002630,1000,282,196,143,166,213,200.0
E01002631,541,102,115,96,112,116,108.2
E01002666,671,92,127,147,140,165,134.2
E01002672,1033,264,216,216,123,214,206.6
E01002675,758,168,218,151,120,101,151.6
E01002679,1114,282,255,243,175,159,222.8
E01002683,883,153,294,226,167,43,176.6
E01002692,1591,364,328,315,284,300,318.2
E01002694,529,93,95,109,98,134,105.8
E01002696,3838,980,652,692,741,773,767.6
E01002715,1145,207,248,246,205,239,229.0
E01002719,1070,227,225,224,198,196,214.0
E01002732,1869,285,393,341,436,414,373.8
E01002733,624,135,134,97,107,151,124.8
E01002739,1544,329,439,311,256,209,308.8
E01002742,959,197,253,211,148,150,191.8
E01002753,805,160,178,144,197,126,161.0
E01002756,779,150,152,154,167,156,155.8
E01002764,1009,177,212,186,241,193,201.8
E01002768,851,154,162,142,229,164,170.2
E01002804,1027,226,175,206,210,210,205.4
E01002807,899,155,216,149,218,161,179.8
E01002817,1056,267,151,164,199,275,211.2
E01002820,1343,287,321,307,296,132,268.6
E01002830,1908,385,409,349,356,409,381.6
E01002833,1522,412,295,301,262,252,304.4
E01002835,3124,701,579,582,574,688,624.8
E01002840,876,153,155,190,160,218,175.2
E01002843,1298,253,247,241,302,255,259.6
E01002853,724,149,149,126,147,153,144.8
E01002866,1050,169,231,213,244,193,210.0
E01002870,1131,180,228,226,205,292,226.2
E01002871,1353,270,241,260,278,304,270.6
E01002873,861,203,186,167,172,133,172.2
E01002879,992,270,202,210,177,133,198.4
E01002887,932,195,161,180,192,204,186.4
E01002891,868,193,187,208,162,118,173.6
E01002893,1112,177,273,254,219,189,222.4
E01002915,278,50,74,41,72,41,55.6
E01002930,1993,430,366,392,354,451,398.6
E01002946,286,59,73,52,35,67,57.2
E01002947,364,69,94,89,59,53,72.8
E01002949,502,125,134,88,80,75,100.4
E01002951,417,79,129,61,69,79,83.4
E01002964,2892,642,505,549,613,583,578.4
E01002981,423,84,114,78,73,74,84.6
E01002990,458,86,97,70,119,86,91.6
E01002993,307,80,64,61,52,50,61.4
E01003053,1228,194,200,189,309,336,245.6
E01003054,1240,275,275,263,206,221,248.0
E01003069,650,82,157,136,152,123,130.0
E01003073,898,164,208,138,140,248,179.6
E01003076,3058,578,656,654,578,592,611.6
E01003128,1406,231,267,216,236,456,281.2
E01003129,1220,208,286,198,204,324,244.0
E01003157,683,121,165,136,126,135,136.6
E01003177,1242,235,271,264,272,200,248.4
E01003196,1536,284,295,289,303,365,307.2
E01003199,1798,418,359,311,337,373,359.6
E01003204,426,104,94,63,80,85,85.2
E01003219,792,141,174,179,142,156,158.4
E01003220,551,81,111,95,118,146,110.2
E01003245,753,154,196,161,103,139,150.6
E01003271,405,99,75,79,83,69,81.0
E01003302,1007,177,229,177,197,227,201.4
E01003305,1030,161,251,207,206,205,206.0
E01003308,762,126,153,130,191,162,152.4
E01003314,414,83,79,96,70,86,82.8
E01003323,786,138,177,161,182,128,157.2
E01003343,583,110,91,127,143,112,116.6
E01003346,1157,241,269,219,192,236,231.4
E01003355,641,129,153,100,99,160,128.2
E01003357,1183,221,241,246,253,222,236.6
E01003362,549,105,116,95,156,77,109.8
E01003367,2321,458,559,535,585,184,464.2
E01003372,802,181,175,157,144,145,160.4
E01003378,890,149,195,174,183,189,178.0
E01003380,320,42,64,58,72,84,64.0
E01003386,947,201,229,175,155,187,189.4
E01003394,716,119,160,156,145,136,143.2
E01003398,790,148,179,146,162,155,158.0
E01003401,1028,252,219,166,182,209,205.6
E01003411,808,131,194,170,161,152,161.6
E01003413,877,182,201,171,179,144,175.4
E01003419,476,85,119,102,94,76,95.2
E01003434,549,104,125,145,89,86,109.8
E01003436,603,130,148,118,112,95,120.6
E01003451,400,60,75,120,71,74,80.0
E01003453,820,170,160,149,160,181,164.0
E01003465,540,95,142,104,109,90,108.0
E01003466,285,47,67,58,70,43,57.0
E01003468,489,105,143,95,85,61,97.8
E01003479,774,140,190,138,146,160,154.8
E01003488,987,146,210,216,187,228,197.4
E01003489,1604,243,298,334,316,413,320.8
E01003491,1949,420,373,435,361,360,389.8
E01003501,1052,183,265,182,201,221,210.4
E01003514,1147,253,238,279,242,135,229.4
E01003524,554,81,84,108,148,133,110.8
E01003532,733,219,213,102,101,98,146.6
E01003537,782,120,222,181,163,96,156.4
E01003540,1221,190,256,274,241,260,244.2
E01003550,699,119,177,144,114,145,139.8
E01003551,926,228,190,157,199,152,185.2
E01003557,1428,240,294,227,210,457,285.6
E01003559,1548,317,385,303,248,295,309.6
E01003561,724,142,161,168,129,124,144.8
E01003567,1405,306,376,312,235,176,281.0
E01003575,1145,227,218,258,211,231,229.0
E01003619,3806,809,690,617,800,890,761.2
E01003628,493,80,94,76,122,121,98.6
E01003644,576,99,88,112,145,132,115.2
E01003647,770,192,193,183,139,63,154.0
E01003654,505,107,100,109,83,106,101.0
E01003655,1076,185,289,194,169,239,215.2
E01003663,754,140,160,143,179,132,150.8
E01003678,283,59,61,57,50,56,56.6
E01003681,1117,253,271,261,178,154,223.4
E01003702,973,166,166,196,226,219,194.6
E01003704,886,161,180,159,184,202,177.2
E01003705,1233,343,231,247,231,181,246.6
E01003724,279,44,66,54,66,49,55.8
E01003729,2114,371,437,436,418,452,422.8
E01003731,820,141,156,158,175,190,164.0
E01003734,1128,222,238,221,225,222,225.6
E01003738,979,177,237,162,205,198,195.8
E01003743,596,105,154,112,105,120,119.2
E01003755,1402,270,254,232,298,348,280.4
E01003756,955,204,234,236,173,108,191.0
E01003759,275,63,54,52,55,51,55.0
E01003763,913,130,234,219,188,142,182.6
E01003766,509,101,122,97,115,74,101.8
E01003767,1547,293,309,321,307,317,309.4
E01003776,842,130,201,160,204,147,168.4
E01003778,1753,323,428,327,320,355,350.6
E01003782,640,125,171,161,133,50,128.0
E01003789,775,169,152,136,130,188,155.0
E01003795,563,118,99,105,135,106,112.6
E01003815,934,169,190,174,160,241,186.8
E01003818,331,69,88,54,52,68,66.2
E01003821,676,97,154,138,141,146,135.2
E01003822,226,55,65,34,38,34,45.2
E01003826,762,163,184,158,145,112,152.4
E01003829,1090,215,230,200,237,208,218.0
E01003840,611,100,176,134,118,83,122.2
E01003855,1125,215,257,142,242,269,225.0
E01003861,699,182,170,132,104,111,139.8
E01003863,610,124,120,134,110,122,122.0
E01003870,732,140,161,143,126,162,146.4
E01003880,378,68,77,71,82,80,75.6
E01003886,386,84,81,73,52,96,77.2
E01003891,720,119,212,151,115,123,144.0
E01003898,424,88,91,103,69,73,84.8
E01003914,1342,291,317,267,250,217,268.4
E01003922,1520,316,286,327,274,317,304.0
E01003932,2170,621,451,376,389,333,434.0
E01003941,1475,279,316,288,259,333,295.0
E01003958,645,124,145,110,122,144,129.0
E01003970,1175,201,419,297,196,62,235.0
E01003973,1686,330,364,421,282,289,337.2
E01003976,1739,354,396,404,299,286,347.8
E01003981,5268,948,755,1012,1336,1217,1053.6
E01003989,1444,276,271,281,300,316,288.8
E01004002,487,83,130,95,95,84,97.4
E01004008,910,182,170,165,184,209,182.0
E01004012,943,209,191,215,173,155,188.6
E01004013,818,152,245,176,134,111,163.6
E01004024,959,172,264,167,170,186,191.8
E01004031,5276,1121,1009,912,1070,1164,1055.2
E01004033,1302,240,256,209,261,336,260.4
E01004035,798,108,141,173,200,176,159.6
E01004039,774,129,195,188,139,123,154.8
E01004053,652,130,143,145,117,117,130.4
E01004068,1566,309,308,281,333,335,313.2
E01004073,379,62,61,55,89,112,75.8
E01004083,569,119,134,119,98,99,113.8
E01004098,298,54,70,69,49,56,59.6
E01004111,796,118,212,141,145,180,159.2
E01004112,339,68,68,82,71,50,67.8
E01004135,315,67,78,68,61,41,63.0
E01004141,633,155,139,123,117,99,126.6
E01004157,234,46,56,41,46,45,46.8
E01004172,925,151,216,164,232,162,185.0
E01004194,500,77,112,107,91,113,100.0
E01004204,1226,254,294,309,199,170,245.2
E01004211,2938,591,637,590,534,586,587.6
E01004230,1509,341,422,277,250,219,301.8
E01004242,3524,713,958,911,783,159,704.8
E01004243,616,106,166,110,115,119,123.2
E01004246,2260,454,600,585,489,132,452.0
E01004249,1576,321,456,319,235,245,315.2
E01004251,2096,355,447,434,393,467,419.2
E01004275,743,119,194,139,136,155,148.6
E01004281,505,66,146,97,99,97,101.0
E01004288,963,184,219,197,187,176,192.6
E01004321,2082,515,405,364,385,413,416.4
E01004332,963,213,276,172,125,177,192.6
E01004341,1680,315,403,386,322,254,336.0
E01004342,956,156,199,172,196,233,191.2
E01004347,425,95,111,94,54,71,85.0
E01004352,785,169,210,144,138,124,157.0
E01004364,1535,341,421,337,242,194,307.0
E01004366,766,160,151,120,159,176,153.2
E01004397,6343,1348,1169,1185,1279,1362,1268.6
E01004398,1019,221,234,188,186,190,203.8
E01004405,854,182,219,162,160,131,170.8
E01004435,981,180,267,210,136,188,196.2
E01004438,2983,686,577,518,574,628,596.6
E01004442,458,74,119,93,105,67,91.6
E01004444,1824,335,411,343,351,384,364.8
E01004448,1416,359,391,212,215,239,283.2
E01004449,779,146,160,139,168,166,155.8
E01004492,1171,178,280,208,240,265,234.2
E01004494,1029,242,258,196,155,178,205.8
E01004502,451,80,131,106,77,57,90.2
E01004506,822,145,173,167,155,182,164.4
E01004522,571,66,138,102,116,149,114.2
E01004544,593,135,129,107,113,109,118.6
E01004554,1028,179,344,237,166,102,205.6
E01004584,647,108,181,147,145,66,129.4
E01004585,984,186,202,213,174,209,196.8
E01004599,289,55,70,46,36,82,57.8
E01004604,583,133,105,119,118,108,116.6
E01004627,688,150,137,158,115,128,137.6
E01004636,396,64,73,75,63,121,79.2
E01004643,874,147,198,172,218,139,174.8
E01004654,2139,459,471,369,445,395,427.8
E01004665,1514,329,411,337,300,137,302.8
E01004717,2137,421,390,289,374,663,427.4
E01004718,1168,285,295,269,169,150,233.6
E01004754,999,162,272,218,167,180,199.8
E01004756,1747,286,532,305,366,258,349.4
E01032577,459,111,124,95,69,60,91.8
E01032579,1791,380,353,385,331,342,358.2
E01032639,1562,364,331,367,294,206,312.4
E01032646,1375,378,262,208,235,292,275.0
E01032719,1603,402,407,329,249,216,320.6
E01032741,6210,1337,965,1268,1289,1351,1242.0
E01032744,1605,315,467,308,259,256,321.0
E01032767,2786,504,557,504,566,655,557.2
E01032783,1176,224,371,291,162,128,235.2
E01032784,799,141,228,186,143,101,159.8
E01033081,1399,319,329,311,259,181,279.8
E01033093,1186,255,327,280,246,78,237.2
E01033325,402,57,82,95,94,74,80.4
E01033571,757,165,194,147,140,111,151.4
E01033573,1501,272,329,395,407,98,300.2
E01033588,123,13,24,29,40,17,24.6
E01033602,1541,401,300,274,263,303,308.2
E01033603,1752,289,395,371,335,362,350.4
E01033604,2204,454,385,382,402,581,440.8
E01033706,5436,1565,869,946,1034,1022,1087.2
E01033726,2090,427,505,534,441,183,418.0
E01033730,1302,277,335,281,307,102,260.4
E01033746,593,93,112,108,163,117,118.6
